id,name,photo
1,Баклажан,Баклажан.jpg
2,Патиссон,Патиссон.jpg
3,Тыквы,Тыквы.jpg
4,капуста,капуста.jpg
5,Многолетники,Многолетники.jpg
6,Перец горький,Перец горький.jpg
7,Однолетники,Однолетники.jpg
8,Редкостные огородные растения,Редкостные огородные растения..jpg
9,Фасоль спаржевая,Фасоль спаржевая..jpg
10,перец,перец.jpg
11,среднерослыетоматы,среднерослыетоматы.jpg
12,Газонные травы,Газонные травы.jpg
13,Свекла столовая,Свекла столовая.jpg
14,Дыни,Дыни.jpg
15,Лекарственные растения,Лекарственные растения.jpg
16,низькорослыетоматы,низькорослыетоматы.jpg
17,Земляника,Земляника.jpg
18,капустацветная,капустацветная.jpg
19,томаты,томаты.jpg
20,Пряно- вкусовые культуры,Пряно- вкусовые культуры..jpg
21,Цветы,Цветы.jpg
22,капустабелокачанная,капустабелокачанная.jpg
23,разновидностикапусты,разновидностикапусты.jpg
24,Фасоль зерновая,Фасоль зерновая.jpg
25,Бобовые культуры,Бобовые культуры.jpg
26,Кукуруза,Кукуруза.jpg
27,капустакраснокачанная,капустакраснокачанная.jpg
28,Перец сладкий,Перец сладкий..jpg
29,Фасоль,Фасоль.jpg
30,Луковичные,Луковичные.jpg
31,редис,редис.jpg
32,Кабачки,Кабачки.jpg
33,огурцы,огурцы.jpg
34,Морковь,Морковь.jpg
35,Томатывысокорослые,Томатывысокорослые.jpg
36,Арбузы,Арбузы.jpg
37,Лук,Лук.jpg
